Removed Pin From Net: NetName=GND Pin=U101-1
Removed Pin From Net: NetName=M2_IN Pin=U101-2
Removed Pin From Net: NetName=M2_OUT Pin=U101-3
Removed Pin From Net: NetName=M1_OUT Pin=U101-4
Removed Pin From Net: NetName=M1_IN Pin=U101-5
Removed Pin From Net: NetName=GND Pin=U101-6
Removed Pin From Net: NetName=+3V3 Pin=U101-7
Removed Pin From Net: NetName=+12V Pin=U101-8
Removed Pin From Net: NetName=PWM_B Pin=U101-10
Removed Pin From Net: NetName=BIN_2 Pin=U101-11
Removed Pin From Net: NetName=BIN_1 Pin=U101-12
Removed Pin From Net: NetName=+3V3 Pin=U101-13
Removed Pin From Net: NetName=AIN_1 Pin=U101-14
Removed Pin From Net: NetName=AIN_2 Pin=U101-15
Removed Pin From Net: NetName=PWM_A Pin=U101-16
Change Component Footprint: Designator=U101 Old Footprint=TB6612FNG,C,8,EL New Footprint=FP-SSOP24-P-300-0_65A-MFG
Change Managed Component Library Link : Designator=U101 Old VaultGUID=149AB3FE-7166-46E8-BF6C-F7A47B5F1A6D New VaultGUID=149AB3FE-7166-46E8-BF6C-F7A47B5F1A6D Old ItemGUID=96ac913b-1fd6-4fa3-812e-834cf0fe486d New ItemGUID=f14ab0db-cdf1-4bb1-976e-da518f95b573 Old RevisionGUID=7ddc92d9-15bd-4512-8d67-afb6b773cc95 New RevisionGUID=0aa2e729-28c3-4bc6-af27-a4013ac80eb9
Change component parameters: Designator = "U101" ("U101"); Footprint = "TB6612FNG,C,8,EL"; UniqueID = "\NJXPVJHR" ("\NJXPVJHR")
Add component (AddParameter): Name = "Capacitor Type"; Value = "Tantalum"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "1411"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "3528"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "B"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "China RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "Tantalum"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Material"; Value = "Tantalum"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "750mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Export Control Classification Number (ECCN) Code"; Value = "EAR99"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Harmonized Tariff Schedule (HTS) Code"; Value = "8532.21.00.50"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.9mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Introduction Date"; Value = "2007-02-01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "2.5µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Production"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Any"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminals"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part number"; Value = "T495B106K025ATE750"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "54mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "25V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "25V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "25V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "2.8mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+12V Pin=C107-1
Added Pin To Net: NetName=GND Pin=C107-2
Added Pin To Net: NetName=GND Pin=C110-1
Added Pin To Net: NetName=+12V Pin=C110-2
Added Pin To Net: NetName=+3V3 Pin=C111-1
Added Pin To Net: NetName=GND Pin=C111-2
Added Pin To Net: NetName=GND Pin=C112-1
Added Pin To Net: NetName=+3V3 Pin=C112-2
Added Pin To Net: NetName=M1_IN Pin=U101-1
Added Pin To Net: NetName=M1_IN Pin=U101-2
Added Pin To Net: NetName=GND Pin=U101-3
Added Pin To Net: NetName=GND Pin=U101-4
Added Pin To Net: NetName=M1_OUT Pin=U101-5
Added Pin To Net: NetName=M1_OUT Pin=U101-6
Added Pin To Net: NetName=M2_OUT Pin=U101-7
Added Pin To Net: NetName=M2_OUT Pin=U101-8
Added Pin To Net: NetName=GND Pin=U101-10
Added Pin To Net: NetName=M2_IN Pin=U101-11
Added Pin To Net: NetName=M2_IN Pin=U101-12
Added Pin To Net: NetName=+12V Pin=U101-13
Added Pin To Net: NetName=+12V Pin=U101-14
Added Pin To Net: NetName=PWM_B Pin=U101-15
Added Pin To Net: NetName=BIN_2 Pin=U101-16
Added Pin To Net: NetName=BIN_1 Pin=U101-17
Added Pin To Net: NetName=GND Pin=U101-18
Added Pin To Net: NetName=+3V3 Pin=U101-19
Added Pin To Net: NetName=+3V3 Pin=U101-20
Added Pin To Net: NetName=AIN_1 Pin=U101-21
Added Pin To Net: NetName=AIN_2 Pin=U101-22
Added Pin To Net: NetName=PWM_A Pin=U101-23
Added Pin To Net: NetName=+12V Pin=U101-24
Added Member To Class: ClassName=Main Member=Component C107 100n
Added Member To Class: ClassName=Main Member=Component C110 T495B106K025ATE750
Added Member To Class: ClassName=Main Member=Component C111 100n
Added Member To Class: ClassName=Main Member=Component C112 T495B106K025ATE750
